지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm),,,
278,의성,1971,,,,,,,,,,,,,,290,,,,,
278,의성,1972,,,,,,,,,,,,,,270,,,,,
278,의성,1973,11.8,-17.5,36.6,5.9,18.5,,804.9,84.7,71.7,2824.3,63.7,6647.98,1.4,270,1251.8,767,,,
278,의성,1974,10.5,-22.5,34.5,4.6,17.4,,1031.8,80,72.2,2661.8,60.04,8713.28,1.4,290,1159.5,672.9,,,
278,의성,1975,11.9,-14.9,34.8,6.3,18.3,,1184,119.2,75.7,2520.5,56.86,8246.02,1.3,70,1140.5,684,,,
278,의성,1976,10.8,-18.8,34.4,4.7,17.5,,819.6,102,73.3,2415.1,54.35,7401.19,1.4,290,1194.5,528.9,,,
278,의성,1977,11.5,-20,37.2,5.1,18.8,,780.9,107,70.6,2518,56.8,7672.64,1.3,140,1305.7,436.2,,,
278,의성,1978,12,-14.4,36.1,5.7,19.1,,1013.8,76.1,71.9,2513.3,56.69,7853.13,1.3,230,1343.1,667.4,,,
278,의성,1979,11.5,-13.8,34.3,5.4,18.7,,945.7,57.5,74,2398.1,54.1,7642.6,1.3,230,1253.3,694.3,,,
278,의성,1980,10.2,-19.7,33.7,4,17.1,,1097.8,63.5,72.7,2283.2,51.37,6325.83,1.1,270,1155.5,565.5,,,
278,의성,1981,10.4,-23.3,35.5,3.9,17.9,,863.9,112.5,70.3,2493.6,56.25,4823.43,1,270,1295.9,628.1,,,
278,의성,1982,11.4,-18.6,36.7,4.7,19.1,,697.5,96,69.6,2511.8,56.66,,0.9,230,1395.9,675.7,,,
278,의성,1983,11.2,-18.4,36.1,4.6,18.6,,1051.5,130.8,70.6,2438.2,54.81,,1,230,1333.6,,,,
278,의성,1984,10.6,-19.4,37.4,4,18.2,,1170.1,156,68.6,2517.9,56.47,,1,270,1261.4,,,,
278,의성,1985,11.1,-20.4,36.1,5.3,17.7,,1168.8,96.8,67.5,2294.8,51.58,,1,270,1179,,,,
278,의성,1986,10.3,-17.7,35.4,4.3,17.5,1016.3,899.3,72.3,65,2378.5,53.47,,1,270,1194.1,,,,
278,의성,1987,10.9,-18.2,34.4,4.7,18.4,1016.6,1043.2,100.4,70.2,2387.9,53.68,,1,270,1163.5,,,,
278,의성,1988,10.5,-15.8,35.9,3.9,18.2,1016.4,770.5,55.1,68.6,2434.1,54.6,,1.1,270,1264.9,,,,
278,의성,1989,11.7,-14.7,34.3,5.5,18.9,1017.9,1087,78.3,73.3,2242,50.39,,0.9,270,1115.6,,,,
278,의성,1990,12,-21.5,36.3,6,19,1020.1,1063.9,69.3,77.3,2097.5,47.15,,1,270,982.3,119,,,
278,의성,1991,10.8,-19.5,34.2,4.4,18.6,1019.8,1016.9,84.5,72.1,2242.2,50.41,,1,270,1005.5,579.1,,,
278,의성,1992,10.9,-14.8,35.5,4.5,18.6,1016.7,908.7,86.5,74.2,2101.8,47.14,,1,270,979.5,563.7,,,
278,의성,1993,10.3,-21.3,32.4,3.7,18,1016.1,1239.2,78.5,78.7,2062,46.35,,1.1,270,989.5,481.7,,,
278,의성,1994,11.7,-17.7,38.5,4.2,20.2,1015.8,505.1,40,72,2423.3,54.47,,1.2,270,1337.3,735.1,,,
278,의성,1995,10.4,-17.5,37.5,3.3,18.9,1015.9,776.7,120.5,73.1,2364.6,53.16,,1.2,270,1222,599,,,
278,의성,1996,11,-18.2,37.2,4.2,19.1,1015.9,805.6,93,70,2262.9,50.76,,1.2,270,1280.9,538.9,,,
278,의성,1997,11.2,-18.9,35.8,4.2,19.4,1015.1,987.8,95,62.8,2361.5,53.08,,1.2,270,,,,,
278,의성,1998,12.1,-17,34.1,6.1,19.4,1015.7,1368.6,155.5,64.2,1934.7,43.49,,0.9,290,,,,,
278,의성,1999,11.6,-16.5,34.5,5.1,19.1,1015.6,1103.8,82,60.9,2078.2,46.72,,1,290,,,,,
278,의성,2000,11.4,-14.7,35.6,4.7,19,1016.3,1014.5,104.5,61.7,1733.9,50.6,,1,270,,,,,
278,의성,2001,11,-18.6,35.7,4.3,18.8,1016.6,622.8,55,59.9,2741.7,61.62,,0.9,290,,,,,
278,의성,2002,10.8,-18,34.4,4.4,18.1,1016.3,1430.9,111.5,63.8,2174.2,48.84,,0.8,290,,,,,
278,의성,2003,10.9,-19.1,34.2,5.2,17.8,1016.9,1696.5,121.5,71.9,1829,41.09,,0.9,290,,,,,
278,의성,2004,11.8,-16.2,35.9,5.4,19.5,1016.6,1475,215.5,65.9,2134.1,47.84,,1.1,290,,,,,
278,의성,2005,11.1,-19,35.4,4.6,18.4,1016.3,848.5,117,66.4,2115.2,47.52,,1.2,290,,,,,
278,의성,2006,11.9,-17.2,37.3,5.8,19.1,1016.4,1392.6,164,68.5,1953.8,43.89,,1.1,270,,558,,,
278,의성,2007,12.5,-14.8,35.6,6.3,20,1016.1,1324.3,89,70.8,1912.2,42.95,,1.1,290,,,,,
278,의성,2008,11.8,-15.9,35.9,5.2,19.5,1016.5,786.2,95,69.3,2121,47.53,,1.2,360,,,,,
278,의성,2009,12.1,-18.7,34.7,5.4,19.8,1015.8,768.6,73,67.1,2098.6,47.15,,1.3,290,,,,,
278,의성,2010,11.7,-20,36,5.4,18.9,1016.4,1062.1,77.5,68.7,1998.5,44.9,,1.2,290,,,,,
278,의성,2011,11.5,-21.1,35,5,18.8,1016.7,1130.5,93,66.8,2056.8,46.2,,1.3,290,,,,,
278,의성,2012,11.3,-22.1,37.6,4.8,18.6,1016,1007.9,118.5,67.2,2090.5,46.85,,1.4,290,,,,,
278,의성,2013,11.9,-23.2,36.9,5.4,19.5,1015.9,851,84,69.2,2182.9,49.04,,1.3,290,,,,,
278,의성,2014,11.7,-16.3,37,5.1,19.4,1016.6,869.4,88.5,68.3,2037.9,45.78,,1.2,290,,,,,
278,의성,2015,12.1,-16.3,38.7,5.7,19.5,1016.5,596.5,35.5,69.1,2166.5,48.67,,1.2,290,,,,,
278,의성,2016,12.7,-19.3,38,6.5,20,1016.5,1017.5,88.5,70.5,2224.6,49.86,,1.2,360,,,,,
278,의성,2017,11.9,-16.7,36.6,5,19.9,1016.6,691.7,63,63.8,2518.7,56.58,,1.3,360,,,,,
278,의성,2018,12.4,-19.2,40.4,5.7,20.2,1016.9,1079.4,88.5,64.7,2448.1,55,,1.3,360,,,,,
278,의성,2019,12.9,-13.7,37.6,6.3,20.7,1016.4,831.3,88.5,65.1,2374.3,53.34,,1.2,360,,,,,
278,의성,2020,12.3,-15.9,35.9,6.1,19.5,1016,1128.9,71.5,71.3,2174.3,48.85,,1.1,290,,,,,
278,의성,2021,12.4,-21.6,37,6.3,19.7,1015.9,961.7,53.7,73.6,2079.9,46.72,,1,290,,,,,
278,의성,2022,12.2,-16.3,37.2,5.6,19.7,1015.8,615.1,34.9,68.6,2295.8,51.58,,1.1,290,,,,,
278,의성,2023,12.9,-19.2,37.1,6.7,20.3,1015.7,1575.4,97.7,73.1,2224.3,50.11,,1,290,,,,,
100,대관령,1971,,-19.6,29.6,,,,282.5,200.8,,,,,,270,,,,,
100,대관령,1972,6.3,-22,30.5,1.1,11.6,1021.1,1637.4,188.8,80.3,2790.7,62.76,4294.3,3,290,1104.5,,,,
100,대관령,1973,6.6,-24.7,32.7,1.6,11.7,1021.2,1145.3,121.3,82,2873.4,64.78,4364.06,2.9,290,1088.2,,,,
100,대관령,1974,5.6,-28.9,29.1,0.4,11,1021.1,1265.1,134.4,79.9,2757.8,62.18,2968.32,2.7,290,960.6,,,,
100,대관령,1975,6.6,-22.6,29.8,1.8,11.6,1021.2,1796.7,131.5,80.8,2590.2,58.4,2271.51,2.4,270,1011.2,,,,
100,대관령,1976,5.9,-23.5,27.9,0.8,11.2,1021.1,1535.1,128.4,75.5,2748.2,61.81,2380.94,2.7,270,1007.7,,,,
100,대관령,1977,6.7,-25.1,32,1.2,12.4,1021.7,1175.3,89.5,76.8,2727.2,61.49,3894.09,2.6,270,1067,,,,
100,대관령,1978,7.1,-27.6,31,1.9,12.4,1021,1605.2,118.2,76.2,2445.7,55.14,3948.06,3.1,290,1150.2,,,,
100,대관령,1979,7,-21.3,29.2,2,12.2,1020.9,1192.7,72.7,76.8,2211,49.85,3379.57,3.6,290,1065.6,,,,
100,대관령,1980,5.6,-25.6,29.4,0.7,10.7,1021,1626.2,106,76.3,2176.2,48.94,3428.53,3.7,290,1018.4,,,,
100,대관령,1981,5.9,-26.5,30.1,0.6,11.5,1020.8,1529.6,169.8,74.3,2373.2,53.51,4359.18,3.5,290,1124.4,,,,
100,대관령,1982,6.6,-23.9,29.2,1.4,12.2,1021.3,1252.6,303,75.7,2399.5,54.1,4964.23,3.3,270,1063.2,,,,
100,대관령,1983,6.5,-24.6,31.1,1.3,11.5,1021.3,1270.3,97.8,71.9,2348.9,52.76,5207.58,3.5,270,1035.2,401,,,
100,대관령,1984,5.9,-25.8,31,0.9,10.9,1021.7,1699.3,242.4,72.8,2337.5,52.4,5250.85,3.1,290,974.7,360.4,,,
100,대관령,1985,6.5,-22.2,28.9,1.8,11.3,1021.5,1744.7,197,74.7,2194.1,49.29,4253.7,3.5,320,964.1,437.5,,,
100,대관령,1986,5.7,-24.4,29.3,0.8,10.6,1019.4,1476.1,142.9,73,2217.9,49.83,4007.06,4.1,320,969.1,411.4,,,
100,대관령,1987,6.5,-20.7,28.3,1.9,11.2,1016.5,1626.7,158,71.7,2400.8,53.93,4965.64,5.3,270,1204.1,495.8,,,
100,대관령,1988,5.8,-20.5,28.6,1.6,10.3,1016.2,1968.1,157.2,71.8,2219,49.74,4617.12,4.9,270,1161.4,413,,,
100,대관령,1989,6.7,-20.6,28,2.6,11,1017,2193.9,195.1,73.9,1930.4,43.37,4123.39,4.4,250,1024,452.1,,,
100,대관령,1990,6.9,-22.2,29.2,2.8,11.4,1017,2316.2,330.8,78.8,2016,45.29,4494.93,4.8,290,1031,467.2,,,
100,대관령,1991,6.1,-22.2,26.5,1.8,11,1016.6,2461.5,234.2,74.4,2246.5,50.46,4506.17,4.7,270,1137.3,470.1,,,
100,대관령,1992,6.1,-19.5,28.4,1.9,10.8,1016.6,2187.9,137.8,73.8,2107.1,47.23,3965.71,4.7,270,1006.2,407.2,,,
100,대관령,1993,5.7,-23.4,25.3,1.1,10.4,1016.7,2353.6,349,74.4,2074.4,46.6,4295.27,4.5,270,1017.2,395.2,,,
100,대관령,1994,7.3,-20.4,31,2.7,12.7,1016.3,1444.1,139.3,71.3,2331.3,52.37,4657.77,4.6,250,1224.2,536.3,,,
100,대관령,1995,6.1,-19,29.3,1.6,11,1016,1337.8,101.6,67.6,2249.5,50.53,4555.44,4.8,270,1167.1,466.8,,,
100,대관령,1996,6,-20.1,29.5,1.5,10.8,1016.5,1439.1,94.5,70.3,2145.4,48.09,4450.72,4.2,270,992.8,356.5,,,
100,대관령,1997,6.7,-20.6,29,2,11.4,1016.2,1760.5,101,72.4,2236.3,50.23,4423.88,4.6,270,1120.2,408.5,,,
100,대관령,1998,7.5,-21.5,27.3,3.4,11.6,1016.8,2998.3,256,76.6,1922,43.18,3719.92,4.2,270,209,,,,
100,대관령,1999,7,-20,30.1,2.7,11.8,1016.1,2199.2,233.1,72.3,2243.3,50.39,4321.3,4.4,270,,,,,
100,대관령,2000,6.9,-20.2,30.3,2.2,11.9,1015.5,1559.4,175.8,71.2,2183.4,48.95,4336.01,4.3,270,,,,,
100,대관령,2001,7.5,-25.6,31.3,2.8,12.8,1015.3,1551.7,83.5,74.1,2190,49.2,5159.1,4.7,270,,,,,
100,대관령,2002,7.5,-19.2,30.6,2.9,12.7,1014.8,2697.6,712.5,73.9,2145.1,48.16,4946.77,4.6,270,,,,,
100,대관령,2003,6.8,-22.6,29.2,2.3,11.8,1016.1,2685.4,216,79.9,1814,40.72,4340.59,3.9,270,,,,,
100,대관령,2004,7.8,-24.3,31.3,3,13.3,1015.3,1815.5,192.5,72.4,2278.1,51.04,4937.35,4.3,270,,,,,
100,대관령,2005,6.6,-21,32.3,1.9,11.9,1015,1881.1,179,73.3,2267.5,50.9,4913.33,4.5,250,,,,,
100,대관령,2006,6.9,-23.5,30.6,2.4,12.1,1015.9,2112.9,171.5,76.2,1861.3,41.78,4687.08,3.6,250,,,,,
100,대관령,2007,7.6,-20,30.2,3.1,12.6,1015.9,1401.1,76.5,75.3,1903.7,42.74,4976.09,3.4,270,,,,,
100,대관령,2008,7.2,-26.2,30.1,2,12.4,1016.4,1128.6,212.5,74.2,2084.4,46.7,5240,3.3,270,,,,,
100,대관령,2009,7.4,-18.6,29.9,2.4,12.6,1015.5,1331.7,159,72.6,2071.6,46.51,5173.58,3.4,270,,,,,
100,대관령,2010,7.2,-24,30.1,2.4,12.2,1016,1217.3,85,72.8,1999.6,44.89,5134.83,3.6,270,,,,,
100,대관령,2011,6.8,-23.8,28.3,1.7,11.8,1016.6,1762.1,126.5,72.1,2073,46.53,5060.21,3.4,270,,,,,
100,대관령,2012,6.5,-23.5,30.7,1.5,11.6,1016,1288.7,123.5,73.5,2363.7,52.95,4927,3.4,270,,,,,
100,대관령,2013,7.5,-26.8,30.1,2.5,12.7,1015.5,1052.3,122,73.2,2467.1,55.39,5055.32,3.8,270,,,,,
100,대관령,2014,7.7,-19.8,30.6,2.3,13,1016.6,1308.2,127,73.5,2382.3,53.49,4896.93,3.2,270,,,,,
100,대관령,2015,8,-19.8,30,2.7,13.4,1016.4,981.9,201.5,72.5,2570.8,57.71,5091.41,3.3,270,,,,,
100,대관령,2016,8.1,-23,32.4,2.9,13.5,1016.4,1184,152.5,72.9,2719.4,60.92,5111.95,3.4,270,520.8,364.1,,,
100,대관령,2017,7.3,-21.1,31.1,2,12.5,1016.4,1025.3,132.1,71.3,2909,65.31,5245.9,3.5,270,1274.8,892.9,,,
100,대관령,2018,7.2,-24.4,32.9,2,12.5,1017,1731.4,81.5,71.9,2661,61.55,5013.13,3.5,270,1265.5,885.6,,,
100,대관령,2019,8.1,-20.1,30.2,2.7,13.6,1016.5,1198.5,118,74.2,2590.2,58.14,5408.38,2.9,270,1290.4,903.3,,,
100,대관령,2020,7.8,-24,31.6,2.7,13.1,1016.8,1755.8,137.3,77.1,2520.3,56.46,5488.78,3.1,270,1213.3,849.3,,,
100,대관령,2021,7.9,-24.3,30.6,2.9,13.3,1016.9,1027.3,69,75.7,2451,55.02,5390.17,3,270,1215.9,851,,,
100,대관령,2022,7.6,-21.8,30.3,2.2,13.2,1017.1,1361.2,101.9,70.8,2500.5,57.37,5582.71,3.1,270,1345.9,941.4,,,
100,대관령,2023,8.5,-25.2,31.8,3.2,14,1017.1,1291.8,101.1,73.7,2186.6,50.24,5544.15,3,270,1342.6,939.8,,,
131,청주,1967,11.5,-24.1,35.4,6.5,17.1,1017.5,1078.9,100.6,74.6,2341.5,53.06,,2.2,180,1144.7,,,,
131,청주,1968,11.5,-16.2,34.2,6.4,17.3,1016.8,885.1,82.2,75.5,2205.2,49.61,,2.1,290,1143.2,,,,
131,청주,1969,10.7,-26.4,34.2,5.8,16.2,1017.1,1676.2,179.2,76.3,1990.7,44.9,,1.9,290,941.2,,,,
131,청주,1970,11.2,-20,33.7,6.5,16.7,1017.6,1283.7,85.2,76,1956.5,44.12,,1.6,320,1031.3,,,,
131,청주,1971,11.3,-23.2,35.1,6.4,16.9,1017.1,1246.4,98.7,75.1,2218.2,50.03,,2.1,180,1044.2,,,,
131,청주,1972,11.7,-11,35.6,7.1,16.9,1016.4,1310.7,121.6,73.7,1980,44.54,,2.3,230,1003.6,,,,
131,청주,1973,11.7,-20.6,35.7,6.9,17.2,1017.2,871.5,63.8,71.6,2174.3,49.03,3839.41,2.2,230,1117.1,626.2,,,
131,청주,1974,10.4,-23,34.7,5.5,16.2,1016.8,1106.6,95.5,73.5,2034.5,45.88,3187.58,1.9,320,1012,581.4,,,
131,청주,1975,12.1,-15,33.6,7.5,17.5,1016.7,1206.4,95.9,75.3,2085.4,47.02,3136.23,1.7,360,1057.6,606.4,,,
131,청주,1976,11.1,-17.9,34.2,6.1,16.9,1017.1,1048.9,108.5,74.5,2136.5,48.06,2757.38,2,180,1050.1,592,,,
131,청주,1977,11.9,-18.5,35.9,6.7,18.1,1017.6,1032.9,73.2,74.1,2421.7,54.62,3267.4,1.8,180,1163.3,673.7,,,
131,청주,1978,12.2,-16.9,35.9,6.9,18.5,1017.1,1251.9,118.1,71.9,2272,51.24,3603.6,1.8,270,1110.5,633.1,,,
131,청주,1979,12,-15.5,34.1,7.1,18.1,1016.8,1376.2,114.5,73.4,2165.3,48.83,3237.58,1.8,230,1012.2,560,,,
131,청주,1980,10.5,-18.9,32.8,5.6,16.5,1017.3,1659.7,217,69.6,2083,46.86,2780.9,1.8,230,935.4,513.3,,,
131,청주,1981,10.8,-22.1,36.4,5.6,17.2,1017.2,1134.7,83.5,69.3,2163.9,48.8,2790.63,1.7,230,985.9,587.4,,,
131,청주,1982,12.1,-16.9,35.2,6.7,18.3,1017,850.2,61.5,68.8,2468.6,55.67,4192.34,1.6,340,1173.2,749.4,,,
131,청주,1983,12,-15.8,35.6,7.3,17.9,1016.9,1238.1,113,72.4,2306.7,51.83,4822.71,1.6,230,1086.5,669.3,,,
131,청주,1984,11.4,-19.2,37.8,6.3,17.6,1017.2,1103.5,101.8,72.2,2427.4,54.42,5042.3,1.6,200,1063.1,633.3,,,
131,청주,1985,11.8,-18.8,35.8,7,17.5,1016.9,1372.1,78,72.8,2188.1,49.18,3750.18,1.6,320,1024.8,616.5,,,
131,청주,1986,11.2,-18.6,35,6.1,17.1,1016.9,1157.5,100.5,72.6,2322.7,52.19,4909.41,1.8,180,999.1,578.3,,,
131,청주,1987,12,-16.7,34,6.9,18.2,1017.1,1656.2,224.7,72.7,2243.8,50.42,4667.58,1.7,180,1083.3,606.2,,,
131,청주,1988,11.7,-15.3,35.4,6.4,18.2,1016.8,878.9,67.7,71.2,2422.5,54.32,4833.69,1.9,180,1173.1,599.8,,,
131,청주,1989,12.6,-12.6,35.1,7.4,18.7,1017.4,1280.3,110.3,74.2,2403.4,54.01,4607.67,1.9,230,1108.5,565.7,,,
131,청주,1990,12.9,-19.3,36.8,8.1,18.6,1018,1473.7,91.5,78.6,2105.5,47.31,3773.46,2,270,1006.4,527.6,,,
131,청주,1991,12,-17.2,34.4,6.8,18.1,1017.7,1143.6,88.4,69.8,2418,54.33,4496.18,1.9,270,,,,,
131,청주,1992,12.3,-11.3,34.5,7.3,18.4,1017.2,990.1,97.1,69.4,2217.8,49.73,4378.93,1.9,270,,,,,
131,청주,1993,11.9,-13.6,32.8,6.9,17.7,1016.9,1301.8,112.2,70.3,2092.1,47.02,4331.13,1.8,320,,,,,
131,청주,1994,13.3,-15.9,37.8,8,19.4,1016.8,1012,107.1,65.2,2475.7,55.65,4809.1,1.8,200,,,,,
131,청주,1995,12,-13.9,35.7,6.8,18.3,1017,1339.8,293,65.3,2402.9,54,4717.3,1.8,230,,,,,
131,청주,1996,12.1,-13.9,36.2,7.2,17.8,1016.9,928.8,85.8,68.4,2391,53.61,4656.68,2.2,290,,,,,
131,청주,1997,12.7,-15,35,7.4,18.4,1016.5,1456.6,172.6,69.7,2430.5,54.62,4672.98,2.2,290,1198.2,643.5,,,
131,청주,1998,13.6,-12.7,34.4,9,19,1016.6,1640.2,142.7,70.2,2206.4,49.58,4320.21,2,290,1090.7,623.2,,,
131,청주,1999,13.1,-12.9,34.9,8.1,18.5,1016.2,1326.5,113,64.7,2329.5,52.35,4568.03,1.8,290,1200.9,649.9,,,
131,청주,2000,12.3,-13.5,33.6,7.7,17.6,1016.2,1357.6,128.1,65,2079.6,46.63,4887.73,1.5,320,1139.1,615,,,
131,청주,2001,12.9,-18.1,34.3,8.1,18.3,1016.4,784.1,71,63.1,2201.2,49.47,5000.68,1.3,320,1271.7,665.4,,,
131,청주,2002,12.8,-13.1,34.7,8.1,17.9,1016.1,1281.8,135.5,64.2,2029.9,45.6,4767.27,2.5,320,1136,592.4,,,
131,청주,2003,12.7,-17.5,32,8.2,17.6,1016.6,1581.8,149,66.6,1806,40.56,4473.65,1.8,290,1011.9,542.3,,,
131,청주,2004,13.4,-15.5,34.6,8.4,19,1016.5,1505.9,131.5,61.2,2206.8,49.45,5101.42,1.7,290,1183.8,631,,,
131,청주,2005,12.5,-15,34,7.8,17.8,1016.3,1427.2,102,60.8,2157.8,48.46,5100.27,1.7,290,1091.2,619.3,,,
131,청주,2006,13.3,-13.3,34.2,8.6,18.5,1016.3,1081.1,154.5,62.3,1965.3,44.13,4933.67,1.6,290,1007.9,559.8,,,
131,청주,2007,13.7,-10.1,33.5,9.3,18.8,1016,1534.5,90.5,64.8,1900.9,42.69,4819.36,1.6,290,998.2,584.5,,,
131,청주,2008,13.4,-11.9,35.1,8.7,18.8,1016.2,892.3,198,62.3,2054.7,46.04,4947.87,1.4,270,1109.2,642.6,,,
131,청주,2009,13,-13.5,33.5,8.3,18.4,1015.8,1019.8,80.5,61.3,2071,46.51,4573.65,1.5,270,1110.1,644.2,,,
131,청주,2010,13,-15.1,35.7,8.6,18.1,1016.3,1422.4,119.5,65.3,1888.1,42.4,4609.56,1.5,250,998.9,569.9,,,
131,청주,2011,12.8,-15.5,35,8.4,17.9,1016.8,1805.6,141,64.6,1962.7,44.08,4749.74,1.5,270,1094,608.8,,,
131,청주,2012,12.7,-15.2,36.4,8.3,17.7,1016.1,1387.6,165.5,63.7,2066.9,46.31,4702.49,1.5,250,1074.5,594.7,,,
131,청주,2013,13.3,-16.9,35.5,8.8,18.4,1016.1,1240.7,156.5,65.1,2354.6,52.88,4492.69,1.3,250,1089.1,599.7,,,
131,청주,2014,13.9,-9.7,36,9.4,19.1,1016.6,913.7,100.5,62.8,2289.1,51.41,5087.12,1.4,250,1081.5,597.1,,,
