지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm),,,
131,청주,2015,14,-10.8,36.4,9.6,19.2,1016.4,756.9,45.5,59.1,2411.9,54.34,4825.14,1.4,270,1263.5,710.6,,,
131,청주,2016,13.9,-16.3,36.3,9.5,18.9,1016.4,938,153.6,58.9,2468.3,55.31,4878.35,1.5,270,1304.2,791.5,,,
131,청주,2017,13.4,-11.1,36.7,8.9,18.7,1016.6,1301.2,290.2,57.7,2693.5,60.49,5090.57,1.6,250,1439.4,1008.2,,,
131,청주,2018,13.5,-15.8,39.1,9.1,18.7,1016.8,1381.6,151.6,60.2,2640.8,59.47,5425.97,1.7,320,1488.9,1043.2,,,
131,청주,2019,14.2,-8.6,36.7,9.7,19.3,1016.5,856.7,97.7,61.2,2432.2,54.62,5453.19,1.3,290,1436.1,1005.6,,,
131,청주,2020,13.9,-13.7,36,9.7,18.9,1016.8,1358.6,79.3,62.9,2319.9,51.99,5372.2,1.5,290,1400,979.9,,,
131,청주,2021,14.4,-16.3,36.4,9.9,19.3,1016.8,1001.6,66.5,62.5,2372.2,53.28,5345.83,1.5,270,1424,996.7,,,
131,청주,2022,13.9,-13.9,36,9.4,19,1016.5,1236.4,212.6,59.5,2535.7,56.94,5567.93,1.4,290,1464.1,1025.1,,,
131,청주,2023,14.8,-16.7,36.4,10.4,19.8,1016.2,1805.6,256.8,60.8,2170.2,48.74,5384.48,1.3,290,1446.7,1012.7,,,
184,제주,1923,,-1.7,34.6,,,,1251.9,130.9,,1610.7,,,,160,1127.3,,,,
184,제주,1924,14.1,-2.7,33.5,11,18.1,,1227,133.7,75.3,2105.5,,,7.8,340,1526.4,,,,
184,제주,1925,14,-1.6,32.3,10.9,17.8,,1612.8,173.1,75.8,2019,,,5.3,340,1441.3,,,,
184,제주,1926,14.3,-2.9,35.7,11,18.2,1016.8,956.9,58,72.7,2285.2,,,5.4,340,1724.1,,,,
184,제주,1927,14.5,-3.2,33.1,11.3,18.3,1015.9,2042.1,301.2,75.2,2187,,,5.1,360,1572.4,,,,
184,제주,1928,14.2,-2.3,31.4,11,17.9,1016.7,1642.3,106,76.4,2148.8,,,4.7,360,1357.1,,,,
184,제주,1929,14.6,-3.8,33.8,11.2,18.4,1016.9,774.5,60.2,71.6,2407.4,,,5.1,340,1638.4,,,,
184,제주,1930,15,-2.1,35.5,11.9,18.8,1016.7,1233.5,91,75.3,2138.2,,,5,340,1388.4,,,,
184,제주,1931,14.2,-5.7,32.7,11,17.9,1016.6,1518.9,180.3,76.8,2072.8,,,5.1,360,1374.7,,,,
184,제주,1932,14.4,-2.4,35.7,11.2,18.2,1016.8,1131.2,160.7,73.4,2269.6,,,5.1,320,1541.9,,,,
184,제주,1933,14.2,-4.4,34,11.2,17.8,1016.6,1684.6,200.5,77.7,2122.2,,,5,340,1423,,,,
184,제주,1934,14.3,-2.9,35,11,18,1017.1,1590.1,187.6,73.3,2222.2,,,5.5,320,1591.4,,,,
184,제주,1935,14.9,-2.7,35.9,11.7,18.6,1016.2,1372.9,132.5,73.4,2339.9,,,4.8,320,1601.2,,,,
184,제주,1936,13.8,-5,33,10.6,17.5,1016.7,1404.6,114.9,72.9,2030.1,,,5.1,320,1397.8,,,,
184,제주,1937,15,-1.5,34.5,11.9,18.7,1016.5,1309.3,166.8,73.8,2170.5,,,4.9,320,1539.4,,,,
184,제주,1938,14.4,-2.7,33.6,11.2,18.2,1016.4,1126.8,72.3,72.3,2080.1,,,5,320,1521.4,,,,
184,제주,1939,14.7,-3.8,33.3,11.5,18.6,1016.7,1248.7,100.7,72.3,2322.1,,,4.9,340,1568.5,,,,
184,제주,1940,14.5,-2.7,33.4,11.1,18.4,1016.7,1629.6,182.2,73.6,2250.7,,,4.8,320,1519.2,,,,
184,제주,1941,14.5,-2.9,32.8,11.1,18.4,1016.2,1811.5,233,73.5,2134.6,,,4.7,320,1389.3,,,,
184,제주,1942,14.8,-3.1,37.5,11.4,18.8,1016.8,929.7,76.2,71.8,2177.2,,,4.6,320,1552,,,,
184,제주,1943,14.5,-3.7,32.7,11.2,18.3,1017.1,1099.8,95.7,73,2145.5,,,4.7,320,1385.1,,,,
184,제주,1944,14.6,-1.8,34.8,11.4,18.4,1017.1,976.9,59.6,71,2245.1,,,4.7,320,1596.3,,,,
184,제주,1945,14.3,-3.1,34.5,11,18.2,1016.6,1616.6,206.5,72.3,2210.6,,,4.6,340,1475.1,,,,
184,제주,1946,15.1,-2.2,35.7,11.7,19.1,1016.1,1400.1,223.1,73,2105.7,,,4.8,320,1419.1,,,,
184,제주,1947,13.9,-3.2,34.4,10.6,17.9,1016.7,1619.9,133.9,70.8,2274.2,,,4.6,320,1325.8,,,,
184,제주,1948,15.1,-2.8,32.6,12,19.1,1016.2,1483.5,158.4,73.3,2193.7,,,4,320,1374.1,,,,
184,제주,1949,14.6,-1.7,33.9,11.6,18.4,1015.8,1466.1,124.2,73.3,2037.8,,,4.6,320,1360.1,,,,
184,제주,1950,15,-3,33.5,11.8,18.9,1015.2,1293.9,64.5,71,1912.7,,,4.6,320,1357.2,,,,
184,제주,1951,14.8,-3.1,35.4,11.5,18.8,1016.4,1512.5,207.9,70.1,2161.4,,,4.3,340,1449.5,,,,
184,제주,1952,14.8,-3.4,36.4,11.5,18.5,1016.4,1495.9,135.2,71.3,1989.7,,,4.6,340,1430,,,,
184,제주,1953,14.9,-3,35.2,11.5,18.8,1016.7,1395,100.3,71.3,1933.9,,,4.5,340,1441.9,,,,
184,제주,1954,14.9,-1.5,33.7,11.7,18.6,1015.5,1745.1,133.7,73.1,1676,,,4.6,340,1270.6,,,,
184,제주,1955,15,-3,34.8,11.6,18.8,1015.7,1384.6,177.5,75.1,2013.9,,,4.5,320,1432.5,,,,
184,제주,1956,14.4,-2.7,34.2,10.9,18,1016,2015.9,129.7,72.2,1738.9,,,4.9,320,1337.8,,,,
184,제주,1957,14.3,-3.3,33.8,10.9,18,1015.9,1721.7,236.6,72.5,1778.7,,,4.4,320,1374.8,,,,
184,제주,1958,15.3,-3.9,34.9,11.9,18.9,1016.6,1206.1,79.5,72.1,1881.4,,,4.4,340,1582,,,,
184,제주,1959,15.6,-3.6,36.2,12.4,19.4,1016.1,1504.4,168.1,73.3,2081.2,,,4.5,360,1564,,,,
184,제주,1960,15.5,-4.1,34.5,12.3,19.2,1016.4,1494.6,188.2,72.1,1957.2,,,4.5,360,1477.3,,,,
184,제주,1961,16,-2.9,34.2,12.5,19.5,1016.2,1639.6,233.7,72.3,1909.5,43.11,,4.3,340,1443.6,,,,
184,제주,1962,15.1,-1.1,32.8,11.5,18.6,1016.1,1528.9,144,69.8,1954.3,44.53,,4.7,320,1452.2,,,,
184,제주,1963,14.8,-3.1,36.3,11.4,18.2,1016.1,1525.6,76.4,72.1,1813.8,40.95,,4.9,320,1350.9,,,,
184,제주,1964,16.1,-0.8,35.9,12.6,19.4,1017,958,60.5,70.1,2102.6,47.34,,4.6,320,1564.8,,,,
184,제주,1965,15,-2.5,33.8,11.3,18.6,1016.3,1161.2,97.2,71,2138.8,49.53,,4.7,320,1512.8,,,,
184,제주,1966,15.6,-2.1,36.4,12.1,19.2,1015.5,1789.7,166.3,73.9,2120.5,50.08,,4.5,320,1565,,,,
184,제주,1967,15.2,-4.9,33.9,11.8,18.6,1016.6,990,62.4,71.7,2206.2,49.82,,4.6,320,1494.4,,,,
184,제주,1968,14.8,-3.2,33.4,11.4,18.2,1016.2,1241.9,118.5,74.8,2014.1,45.35,,4.2,320,1243,,,,
184,제주,1969,14.9,-1.8,34.5,11.4,18.3,1016.2,1556.7,112.6,76.4,1968.5,44.44,,4.4,320,1321.8,,,,
184,제주,1970,14.7,-4.6,35.8,11.6,17.9,1016.8,1301.9,184.9,79.2,1676.2,37.84,,3.9,340,1236.2,,,,
184,제주,1971,15.4,-2.8,36.5,12,18.8,1016.5,1020.7,148.5,76.7,1932.1,43.62,,4.3,340,1455.9,,,,
184,제주,1972,15.3,-1.4,32.5,11.8,18.5,1015.6,1823.3,113.7,79.8,1745.9,39.31,,4.2,340,1477.7,,,,
184,제주,1973,15.5,-2.3,33.2,12.1,18.7,1016.5,1217.5,159.3,79.6,2181.7,49.25,,4,340,1266.5,,,,
184,제주,1974,14.8,-2.7,33.6,11.4,18.2,1015.9,1506.8,147.8,76.8,1882.9,42.5,,3.9,340,1106.9,,,,
184,제주,1975,15.7,-2.5,33.3,12.6,18.8,1015.6,1279.5,87,75.5,1897.9,42.84,,4.2,340,1144.6,,,,
184,제주,1976,14.7,-3.1,33.6,11.3,17.9,1015.8,1452.5,99.6,76.3,1872.6,42.16,,4,160,1094.6,,,,
184,제주,1977,15.2,-6,35.1,11.9,18.4,1016.2,1180.8,63.9,77.1,1844.3,41.64,,3.9,340,1240.3,,,,
184,제주,1978,15.8,-1.9,35.2,12.4,19,1015.9,1079.8,154.8,74.3,2291,51.71,,4,340,1479.6,,,,
184,제주,1979,15.8,-2.6,35.2,12.3,19.1,1015.6,1838,198.1,75.5,1983.9,44.78,,3.9,160,1327.4,,,,
184,제주,1980,14.6,-2.8,32.6,11.3,17.7,1016.1,1545.6,146.5,74.4,1561.1,35.15,,4.1,320,1181.4,,,,
184,제주,1981,15,-5.1,34.1,11.7,18,1016,1612.4,225.7,70.7,1898.9,42.86,3514.34,3.9,290,1339.1,,,,
184,제주,1982,15.4,-2.2,34,12.1,18.7,1015.8,1248,100.5,72.3,1978.3,44.65,4902.17,3.6,290,1296.7,706.9,,,
184,제주,1983,15.6,-2.9,34.2,12.4,18.8,1015.8,1373.6,188.2,74.2,1688.1,37.98,4532.73,3.8,320,1251.2,670.6,,,
184,제주,1984,14.8,-4,34,11.9,18,1016.1,878.5,72.8,72.8,1972.5,44.28,4879.77,4,320,1256.2,773.8,,,
184,제주,1985,15.4,-3.6,33.9,12.4,18.6,1015.8,2420.6,248.7,71.4,1831.3,41.2,4494.1,4.1,320,1228.2,826.8,,,
184,제주,1986,14.7,-3.5,34.3,11.6,17.9,1016.3,1828.6,224.5,71.8,1797.5,40.44,4714.04,3.9,290,1237.1,844.1,,,
184,제주,1987,15.4,-3,35.4,12.3,18.9,1016.5,1719.4,163.6,70.1,1837.5,41.34,4535.84,3.9,320,1188.4,795.9,,,
184,제주,1988,15.2,-2.3,34.6,12.3,18.5,1016,1084.6,147,73.9,2093.7,47,4599.48,4,320,1243.8,869.3,,,
184,제주,1989,15.7,-1.7,33.3,12.8,18.8,1016.1,1358.6,188.5,77.1,1959.9,44.09,4371.01,3.8,290,1204.8,845.6,,,
184,제주,1990,16.4,-4.5,37,13.3,19.5,1016.1,1544.5,113.2,73.5,1952.5,43.92,4322.84,3.8,20,1320.1,870.8,,,
184,제주,1991,15.5,-3.3,34.4,12.7,18.5,1016,1810.9,119.1,68.8,1841.6,41.43,4252.42,3.8,320,1151.7,721.8,,,
184,제주,1992,15.9,0.4,34.5,13,19.1,1016.9,1232.9,59.4,72.8,1899.3,42.64,4167.46,3.7,290,1274.7,839,,,
184,제주,1993,15.2,-0.8,34.5,12.3,18.3,1017.1,1552.8,132.2,72.3,1583.6,35.62,3922.15,3.6,290,1210.8,763.3,,,
184,제주,1994,16.5,-0.6,34.6,13.5,19.6,1016.5,1448.9,189.3,70.3,2159.7,48.58,4692.07,3.3,20,1398.2,770,,,
184,제주,1995,15.6,0.3,35.8,12.7,18.6,1017.1,1472.9,204.5,71.9,1945.8,43.77,4264.42,3.5,20,1266.9,646.1,,,
184,제주,1996,15.7,-1.5,35.5,12.7,18.9,1017.1,881.1,47.1,69,1915,42.99,4047.18,3.3,20,1253,633.7,,,
184,제주,1997,16.4,-0.9,34.4,13.5,19.4,1016.8,999.5,86.4,70.6,1908.2,42.92,4261.5,3.2,20,1273,654.6,,,
184,제주,1998,17,-2.9,37.4,14.1,20,1016.1,1581.1,219,74.9,1807.4,40.66,4436.99,3.2,20,1181.3,597.2,,,
184,제주,1999,16,-1.6,32.8,13.2,19.1,1015.8,2526,248.2,71.2,1656.3,37.26,4389.35,3.4,340,1141.2,528.2,,,
184,제주,2000,15.7,-1.7,36,12.7,18.8,1016.3,1189.4,147.5,66.3,2046.2,45.92,4799.21,3.4,360,1248.9,744.1,,,
184,제주,2001,16.1,-3.1,35.8,13.2,19.3,1016.3,1388.6,73,65.1,1910.1,42.97,4685.87,3.2,340,1189.9,673.1,,,
184,제주,2002,15.8,0.6,35,13.1,18.7,1016.1,1704.1,215,67.9,1794.9,40.35,4559.42,3.2,340,1118,618,,,
184,제주,2003,15.7,-2.1,34.3,13,19.1,1016.5,1999.2,231.5,72.2,1757,39.5,4597.3,3.1,340,1074.8,630.4,,,
184,제주,2004,16.4,-3.2,34.3,13.4,20,1016.4,1333.8,186.5,67.1,2106.3,47.25,5044.28,2.8,340,1285.8,747.7,,,
184,제주,2005,16.2,-1.5,34.7,13.5,19.3,1016.3,872.5,98.5,63.7,1771,39.81,5086.58,3.5,20,1279.8,762.5,,,
184,제주,2006,16.2,-1.8,34,13.5,19.4,1016,1527.4,161.5,64.3,1704.7,38.32,4791.09,3.2,20,1119.9,659.3,,,
184,제주,2007,16.5,0.8,34,13.8,19.5,1016,2139.8,420,61.8,1671.8,39.07,4735.87,3.3,320,1198.2,715.9,,,
184,제주,2008,16,-0.5,34.8,13.4,19,1016.3,1308.8,87.5,63.9,1687,37.94,4856.76,3.4,320,1207.7,675,,,
184,제주,2009,16,-2.5,33.6,13.1,19.1,1015.9,1304.8,124,62.5,1764.7,39.67,5065.12,3.5,320,1272.9,742.5,,,
184,제주,2010,15.6,-2.3,35.8,12.7,18.9,1016.2,1584.9,122,66.5,1681.8,38.07,4877.39,3.3,320,1169,618.9,,,
184,제주,2011,15.6,-2.8,34.7,13,18.5,1016.8,1478.6,299,68.7,1720,38.66,5053.8,3.3,320,1279.5,676.2,,,
184,제주,2012,15.7,-2.8,34.9,13.1,18.6,1015.8,2248.3,206,71.3,1693.4,37.98,4760.73,3.4,320,1225.6,650.9,,,
184,제주,2013,16.5,-1.8,36.3,13.5,19.8,1016.2,859.1,70.1,72.1,1990.2,44.73,4963.44,3.2,320,1385.1,785.5,,,
184,제주,2014,16.2,0.1,35.2,13.6,19.1,1016.4,1563.4,134.7,70.3,1755.5,39.46,4695.68,3.2,20,1285.6,725.9,,,
184,제주,2015,16.7,-0.7,36.7,14.1,19.8,1016.5,1728.3,98.9,70.9,1826.6,41.06,4861.18,3,320,1209.7,659.8,,,
184,제주,2016,17,-5.8,35.5,14.4,20.2,1016.6,1416.4,158.5,71.9,1718.4,38.54,4743.41,3.1,20,1277.9,757.2,,,
184,제주,2017,16.8,-1.1,37,14,20,1017,773.3,67.5,67.5,1981.3,44.53,5193.92,3.1,320,1524,1067.1,,,
184,제주,2018,16.6,-2.6,35.3,13.9,19.8,1016.7,1769.5,310,71.1,1939.7,43.6,5045.31,3.1,360,1418.3,992.9,,,
184,제주,2019,16.8,1,35.4,14.2,19.9,1016.5,1979.9,187.7,69.8,1909.9,42.93,5007,3,320,1424,997.3,,,
184,제주,2020,16.7,-1.4,36.3,14,20,1016.9,1389.5,183.6,69.2,1890.3,42.4,5004.37,3.1,320,1450.2,1016.3,,,
184,제주,2021,17.5,-3.1,34.2,14.6,21,1016.6,1627.7,155.3,70.7,1965.3,44.18,5080.15,3.3,70,1502.6,1050.7,,,
184,제주,2022,17,-0.4,37.5,14.1,20.5,1017,1075.8,174,71.3,2012.2,45.23,5121.15,3.4,20,1489.9,1043.6,,,
133,대전,1969,11.2,-19,33.5,6.5,16.4,1016.9,1807.1,150.4,77.2,2092.5,47.2,,1.9,230,917.7,,,,
133,대전,1970,11.6,-17.9,34.5,7.1,17.1,1017.5,1521.2,97.2,73.4,2143.5,48.35,,2,230,1047.7,,,,
133,대전,1971,11.8,-17.3,34.1,7.1,17.2,1017.1,1420.2,136.3,73.8,2220,50.08,,1.9,230,1028.3,,,,
133,대전,1972,12.2,-9.8,35.2,7.8,17.3,1016.3,1380,90.2,75.3,1993.3,44.85,,1.8,230,1064.3,,,,
133,대전,1973,12.2,-17.7,35.3,7.6,17.7,1016.9,1102.9,78,74.2,2353.8,53.09,,1.8,230,1170.9,700.9,,,
133,대전,1974,10.9,-18.6,35,6.4,16.6,1016.4,1266.2,85.2,75.6,2185.2,49.3,,1.7,230,1034.1,604.5,,,
133,대전,1975,12.3,-11.9,34.1,8,17.8,1016.2,1383,83.4,76.6,2244.2,50.62,,1.7,230,1084.1,598,,,
133,대전,1976,11.4,-15.3,33.7,6.8,17.1,1016.6,939.3,77.2,73.3,1980.1,44.55,,1.8,250,1138.4,607,,,
133,대전,1977,12.2,-15.7,35.3,7.4,18.1,1017.1,1099.1,137.6,71.9,2255.5,50.88,,1.7,230,1177.9,648.2,,,
133,대전,1978,12.6,-15.8,35.2,7.8,18.4,1016.6,1465.7,100.8,74.7,2230.1,50.3,,1.8,230,1249.7,646.2,,,
133,대전,1979,12.4,-13.3,33.4,7.6,18.1,1016.4,1399.1,108.8,75.1,2163.5,48.8,,1.8,230,1182.4,626.5,,,
133,대전,1980,11,-15.8,32.3,6.3,16.6,1016.6,1598.7,131.8,75.2,2070.8,46.59,,1.7,230,1085.6,529.3,,,
133,대전,1981,11.4,-16.8,34.8,6.4,17,1016.7,1206.5,164.2,75.2,2215.2,49.96,,1.6,230,1146.7,575.3,,,
133,대전,1982,12.5,-14.5,35.3,7.4,18.6,1016.6,1007.6,76.8,73.8,2375.5,53.58,,1.5,250,1229.4,595.3,,,
133,대전,1983,12.5,-14.9,35.5,7.8,18.1,1016.6,1228.3,159.8,74.8,2206.2,49.6,,1.6,250,1118.9,604.9,,,
133,대전,1984,11.9,-15.2,35.8,6.9,17.6,1016.9,1318.8,111.6,67.1,2300.8,51.61,4828.91,1.6,250,1093.6,705.3,,,
133,대전,1985,12.2,-14.9,35.4,7.6,17.4,1016.6,1692.8,112.4,72.1,2198.4,49.42,4767.09,1.5,230,1037.9,710.6,,,
133,대전,1986,11.8,-14.8,34.7,7,17.3,1016.6,1244.5,102.3,70.3,2307.7,51.87,3814.68,1.6,250,1083.9,733.6,,,
133,대전,1987,12.5,-14.8,33.5,7.4,18.1,1016.8,1880.7,303.3,71,2179.2,48.99,4576.67,1.6,250,1001.2,642.5,,,
133,대전,1988,12.3,-12,35.3,7.2,18.2,1016.9,920.9,159.3,65.8,2268.1,50.87,4606.74,1.7,250,1137.8,639.9,,,
133,대전,1989,13.1,-11,34.4,8.3,18.6,1017.3,1538,145.6,68.3,2155.4,48.45,4472.28,1.7,250,1082.4,608.2,,,
133,대전,1990,13.4,-16.2,36.7,9,18.5,1017.3,1496.4,73.8,69.7,1981.4,44.54,4490.16,1.7,270,939.6,507.1,,,
133,대전,1991,12.6,-15.2,33.8,7.6,18.2,1017.1,1182.1,68.9,68.4,2126.4,47.8,4115.31,1.7,250,982.8,528.8,,,
133,대전,1992,12.8,-9.6,34.1,7.9,18.5,1017.1,1036.9,84.4,69.6,2157.3,48.38,4506.64,1.7,250,1067.8,624.3,,,
133,대전,1993,12.3,-12,32.3,7.6,17.8,1017.2,1533.1,119,72.4,2092.5,47.03,4567.12,1.7,250,968.4,516.3,,,
133,대전,1994,13.8,-13.2,37.7,8.7,19.7,1016.6,857.9,78.9,65.9,2528.7,56.84,5149.87,1.7,290,1195.2,657.7,,,
133,대전,1995,12.3,-13.3,36.1,7,18.4,1016.6,1136.2,194.3,68.3,2422,54.45,5208.23,1.7,320,1204.4,641.1,,,
133,대전,1996,12.1,-14.2,35.6,7.2,18,1016.8,1279.2,128,68.2,2440.5,54.74,5110.56,1.6,320,1149.8,590.4,,,
133,대전,1997,12.8,-15.3,34.7,7.6,18.7,1016.5,1765.9,233,69.5,2548.7,57.29,5296.06,1.5,320,1214.3,607.1,,,
133,대전,1998,13.6,-13.4,34.2,8.9,19.2,1016.6,2070,189.2,71.3,2051.4,46.11,4351.65,1.6,290,998.4,526.9,,,
133,대전,1999,13,-13.5,33.8,8.1,18.5,1016.5,1455.2,150.5,69.9,2243.1,50.42,4727.78,1.6,290,1060.3,618.6,,,
133,대전,2000,12.4,-12.4,33.9,7.7,18.1,1016.2,1707.5,227.6,67.2,2134.7,47.87,5073.36,2.7,340,963.4,522,,,
133,대전,2001,13.1,-17.4,34.4,8.2,18.8,1016.4,828.7,78.9,65.3,2233.6,50.2,5228.72,2.1,340,1047,658,,,
133,대전,2002,13.3,-12,34.2,8.8,18.4,1016,1378.7,174.5,66.7,2058,46.24,4949.54,2.2,340,982.3,606.8,,,
133,대전,2003,13.2,-14.5,32.2,8.9,18,1016.6,1748.9,154.5,69,1838.9,41.31,4710.42,2.1,340,813.3,470.8,,,
133,대전,2004,13.9,-14.3,34.8,9.1,19.3,1016.4,1496.5,130.5,63.5,2198.3,49.27,5003.82,1.7,250,987.5,620.3,,,
133,대전,2005,12.4,-15.7,34.3,7.8,17.5,1016.5,1656.1,178,63.5,2144.4,48.17,4819.86,2,340,944.8,580.2,,,
133,대전,2006,13.1,-13.5,34.2,8.5,18.3,1016.5,1195.2,89,67,1990.5,44.71,5072.48,1.8,340,971.4,583.2,,,
133,대전,2007,13.3,-9.3,33.7,8.9,18.4,1015.4,1750.9,122,67.6,1914.8,43.02,4945.26,1.8,180,936.9,555.7,,,
133,대전,2008,13,-11.6,33.4,8.3,18.3,1015.8,1037.6,98,63.3,2117.9,47.48,5317.14,1.8,320,973.8,556.5,,,
133,대전,2009,12.8,-13.3,32.7,8,18.2,1015.3,1090.4,88,63.4,2180.4,48.98,5333.58,1.8,320,1004.2,628.3,,,
133,대전,2010,12.7,-14.4,33.9,8.2,17.7,1015.8,1419.7,70.5,66.6,1985.3,44.6,5002.34,1.8,320,884.9,526.8,,,
133,대전,2011,12.6,-16.1,33.3,8.2,17.6,1016.7,1943.4,231.5,64.4,2048.7,46.03,5057.9,1.8,320,945.4,545.5,,,
133,대전,2012,12.6,-14.4,36.9,8.1,17.6,1016.2,1409.5,119.4,67.8,2367.6,53.07,5215.25,1.8,320,1018.9,601.7,,,
