지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
133,대전,1969,11.2,-19,19690206,33.5,19690809,6.5,16.4,1016.9,1807.1,150.4,19690807,77.2,2092.5,47.2,,1.9,230,917.7,
133,대전,1970,11.6,-17.9,19700105,34.5,19700811,7.1,17.1,1017.5,1521.2,97.2,19700909,73.4,2143.5,48.35,,2,230,1047.7,
133,대전,1971,11.8,-17.3,19710105,34.1,19710803,7.1,17.2,1017.1,1420.2,136.3,19710726,73.8,2220,50.08,,1.9,230,1028.3,
133,대전,1972,12.2,-9.8,19721219,35.2,19720722,7.8,17.3,1016.3,1380,90.2,19720819,75.3,1993.3,44.85,,1.8,230,1064.3,
133,대전,1973,12.2,-17.7,19731224,35.3,19730717,7.6,17.7,1016.9,1102.9,78,19730802,74.2,2353.8,53.09,,1.8,230,1170.9,700.9
133,대전,1974,10.9,-18.6,19740124,35,19740820,6.4,16.6,1016.4,1266.2,85.2,19740407,75.6,2185.2,49.3,,1.7,230,1034.1,604.5
133,대전,1975,12.3,-11.9,19751224,34.1,19750819,8,17.8,1016.2,1383,83.4,19750706,76.6,2244.2,50.62,,1.7,230,1084.1,598
133,대전,1976,11.4,-15.3,19760120,33.7,19760628,6.8,17.1,1016.6,939.3,77.2,19760827,73.3,1980.1,44.55,,1.8,250,1138.4,607
133,대전,1977,12.2,-15.7,19770131,35.3,19770729,7.4,18.1,1017.1,1099.1,137.6,19770807,71.9,2255.5,50.88,,1.7,230,1177.9,648.2
133,대전,1978,12.6,-15.8,19780201,35.2,19780726,7.8,18.4,1016.6,1465.7,100.8,19780625,74.7,2230.1,50.3,,1.8,230,1249.7,646.2
133,대전,1979,12.4,-13.3,19790202,33.4,19790727,7.6,18.1,1016.4,1399.1,108.8,19790805,75.1,2163.5,48.8,,1.8,230,1182.4,626.5
133,대전,1980,11,-15.8,19800118,32.3,19800614,6.3,16.6,1016.6,1598.7,131.8,19800525,75.2,2070.8,46.59,,1.7,230,1085.6,529.3
133,대전,1981,11.4,-16.8,19810117,34.8,19810726,6.4,17,1016.7,1206.5,164.2,19810830,75.2,2215.2,49.96,,1.6,230,1146.7,575.3
133,대전,1982,12.5,-14.5,19820129,35.3,19820811,7.4,18.6,1016.6,1007.6,76.8,19820820,73.8,2375.5,53.58,,1.5,250,1229.4,595.3
133,대전,1983,12.5,-14.9,19831225,35.5,19830805,7.8,18.1,1016.6,1228.3,159.8,19830620,74.8,2206.2,49.6,,1.6,250,1118.9,604.9
133,대전,1984,11.9,-15.2,19840203,35.8,19840809,6.9,17.6,1016.9,1318.8,111.6,19840902,67.1,2300.8,51.61,4828.91,1.6,250,1093.6,705.3
133,대전,1985,12.2,-14.9,19850130,35.4,19850728,7.6,17.4,1016.6,1692.8,112.4,19850707,72.1,2198.4,49.42,4767.09,1.5,230,1037.9,710.6
133,대전,1986,11.8,-14.8,19860105,34.7,19860802,7,17.3,1016.6,1244.5,102.3,19860813,70.3,2307.7,51.87,3814.68,1.6,250,1083.9,733.6
133,대전,1987,12.5,-14.8,19870114,33.5,19870801,7.4,18.1,1016.8,1880.7,303.3,19870722,71,2179.2,48.99,4576.67,1.6,250,1001.2,642.5
133,대전,1988,12.3,-12,19880124,35.3,19880810,7.2,18.2,1016.9,920.9,159.3,19880713,65.8,2268.1,50.87,4606.74,1.7,250,1137.8,639.9
133,대전,1989,13.1,-11,19890128,34.4,19890719,8.3,18.6,1017.3,1538,145.6,19890716,68.3,2155.4,48.45,4472.28,1.7,250,1082.4,608.2
133,대전,1990,13.4,-16.2,19900126,36.7,19900807,9,18.5,1017.3,1496.4,73.8,19900821,69.7,1981.4,44.54,4490.16,1.7,270,939.6,507.1
133,대전,1991,12.6,-15.2,19910224,33.8,19910820,7.6,18.2,1017.1,1182.1,68.9,19910707,68.4,2126.4,47.8,4115.31,1.7,250,982.8,528.8
133,대전,1992,12.8,-9.6,19921225,34.1,19920706,7.9,18.5,1017.1,1036.9,84.4,19920924,69.6,2157.3,48.38,4506.64,1.7,250,1067.8,624.3
133,대전,1993,12.3,-12,19930121,32.3,19930811,7.6,17.8,1017.2,1533.1,119,19930917,72.4,2092.5,47.03,4567.12,1.7,250,968.4,516.3
133,대전,1994,13.8,-13.2,19940124,37.7,19940724,8.7,19.7,1016.6,857.9,78.9,19940630,65.9,2528.7,56.84,5149.87,1.7,290,1195.2,657.7
133,대전,1995,12.3,-13.3,19950130,36.1,19950814,7,18.4,1016.6,1136.2,194.3,19950830,68.3,2422,54.45,5208.23,1.7,320,1204.4,641.1
133,대전,1996,12.1,-14.2,19960202,35.6,19960802,7.2,18,1016.8,1279.2,128,19960617,68.2,2440.5,54.74,5110.56,1.6,320,1149.8,590.4
133,대전,1997,12.8,-15.3,19970122,34.7,19970723,7.6,18.7,1016.5,1765.9,233,19970804,69.5,2548.7,57.29,5296.06,1.5,320,1214.3,607.1
133,대전,1998,13.6,-13.4,19980125,34.2,19980807,8.9,19.2,1016.6,2070,189.2,19980812,71.3,2051.4,46.11,4351.65,1.6,290,998.4,526.9
133,대전,1999,13,-13.5,19990204,33.8,19990721,8.1,18.5,1016.5,1455.2,150.5,19990910,69.9,2243.1,50.42,4727.78,1.6,290,1060.3,618.6
133,대전,2000,12.4,-12.4,20000201,33.9,20000817,7.7,18.1,1016.2,1707.5,227.6,20000723,67.2,2134.7,47.87,5073.36,2.7,340,963.4,522
133,대전,2001,13.1,-17.4,20010115,34.4,20010804,8.2,18.8,1016.4,828.7,78.9,20010618,65.3,2233.6,50.2,5228.72,2.1,340,1047,658
133,대전,2002,13.3,-12,20020103,34.2,20020727,8.8,18.4,1016,1378.7,174.5,20020806,66.7,2058,46.24,4949.54,2.2,340,982.3,606.8
133,대전,2003,13.2,-14.5,20030106,32.2,20030820,8.9,18,1016.6,1748.9,154.5,20030709,69,1838.9,41.31,4710.42,2.1,340,813.3,470.8
133,대전,2004,13.9,-14.3,20040122,34.8,20040731,9.1,19.3,1016.4,1496.5,130.5,20040716,63.5,2198.3,49.27,5003.82,1.7,250,987.5,620.3
133,대전,2005,12.4,-15.7,20051218,34.3,20050723,7.8,17.5,1016.5,1656.1,178,20050711,63.5,2144.4,48.17,4819.86,2,340,944.8,580.2
133,대전,2006,13.1,-13.5,20060204,34.2,20060816,8.5,18.3,1016.5,1195.2,89,20060726,67,1990.5,44.71,5072.48,1.8,340,971.4,583.2
133,대전,2007,13.3,-9.3,20070114,33.7,20070802,8.9,18.4,1015.4,1750.9,122,20070901,67.6,1914.8,43.02,4945.26,1.8,180,936.9,555.7
133,대전,2008,13,-11.6,20081206,33.4,20080808,8.3,18.3,1015.8,1037.6,98,20080816,63.3,2117.9,47.48,5317.14,1.8,320,973.8,556.5
133,대전,2009,12.8,-13.3,20090115,32.7,20090815,8,18.2,1015.3,1090.4,88,20090709,63.4,2180.4,48.98,5333.58,1.8,320,1004.2,628.3
133,대전,2010,12.7,-14.4,20100114,33.9,20100805,8.2,17.7,1015.8,1419.7,70.5,20100717,66.6,1985.3,44.6,5002.34,1.8,320,884.9,526.8
133,대전,2011,12.6,-16.1,20110116,33.3,20110805,8.2,17.6,1016.7,1943.4,231.5,20110710,64.4,2048.7,46.03,5057.9,1.8,320,945.4,545.5
133,대전,2012,12.6,-14.4,20121226,36.9,20120806,8.1,17.6,1016.2,1409.5,119.4,20120830,67.8,2367.6,53.07,5215.25,1.8,320,1018.9,601.7
133,대전,2013,13.1,-16.5,20130104,35,20130822,8.4,18.3,1016.3,1120.2,73.9,20130618,73.2,2513.1,56.45,5538.34,1.6,320,1006.5,563.2
133,대전,2014,13.4,-10.7,20140204,34.9,20140725,8.8,18.9,1016.8,1117.7,85.5,20140718,72.4,2378.3,53.42,5550.96,1.5,320,983.4,576.3
133,대전,2015,14,-12.4,20150209,36.3,20150807,9.2,19.4,1016.7,822.7,66.9,20150626,70,2417.9,54.33,5658.3,1.5,320,1025.8,623.1
133,대전,2016,14,-17,20160124,37.6,20160820,9.4,19.4,1016.8,1228.4,179.1,20160704,70,2440.1,54.7,5697.09,1.5,320,1190.3,772.7
133,대전,2017,13.4,-11.8,20170115,35.9,20170805,8.5,18.9,1017.1,1127.5,77,20170911,68.2,2632,59.12,5954.04,1.6,320,1461.1,1022.5
133,대전,2018,13.5,-16.3,20180125,39.4,20180815,8.8,19,1017.2,1542.1,140,20180828,68.9,2542.1,57.11,5589.11,1.5,320,1414.9,989.9
133,대전,2019,14,-9.6,20191206,36,20190805,9.2,19.5,1016.9,984.2,82.5,20191002,68.8,2474.3,55.76,5744.1,1.4,320,1408.2,986.2
133,대전,2020,13.7,-13.2,20201231,35.4,20200825,9.2,19.2,1017.1,1614,141.3,20200730,70.8,2394.5,54.36,5523.26,1.4,320,1342.7,940.5
133,대전,2021,14.3,-17.5,20210108,36.1,20210730,9.5,19.7,1017,1109.5,65,20210823,71.8,2354.3,54.53,5005.07,1.5,20,1243.7,870.2
133,대전,2022,13.5,-13.5,20221224,35.7,20220621,8.5,19.4,1017,1203.1,192.9,20220810,62.3,2342.9,52.63,5533.4,1.9,320,1475.2,1033.1
133,대전,2023,14,-17.7,20230125,35.7,20230806,9.1,19.8,1016.6,2042.5,221.8,20230714,64.6,2309.9,51.89,5409.97,1.5,320,1416.4,991
